,name,num_actions,step
570,no_players,18,570
571,no_players,43,571
572,no_players,41,572
573,no_players,131,573
574,no_players,72,574
575,no_players,34,575
576,no_players,45,576
577,no_players,112,577
578,no_players,31,578
579,no_players,72,579
580,no_players,17,580
581,no_players,39,581
582,no_players,59,582
583,no_players,34,583
584,no_players,50,584
585,no_players,39,585
586,no_players,42,586
587,no_players,46,587
588,no_players,27,588
589,no_players,50,589
590,no_players,57,590
591,no_players,34,591
592,no_players,99,592
593,no_players,20,593
594,no_players,66,594
595,no_players,121,595
596,no_players,39,596
597,no_players,39,597
598,no_players,21,598
599,no_players,100,599
600,no_players,47,600
601,no_players,13,601
602,no_players,16,602
603,no_players,91,603
604,no_players,57,604
605,no_players,44,605
606,no_players,15,606
607,no_players,33,607
608,no_players,112,608
609,no_players,51,609
610,no_players,84,610
611,no_players,33,611
612,no_players,32,612
613,no_players,15,613
614,no_players,48,614
615,no_players,37,615
616,no_players,40,616
617,no_players,103,617
618,no_players,25,618
619,no_players,62,619
620,no_players,67,620
621,no_players,45,621
622,no_players,113,622
623,no_players,52,623
624,no_players,24,624
625,no_players,24,625
626,no_players,128,626
627,no_players,30,627
628,no_players,40,628
629,no_players,60,629
630,no_players,38,630
631,no_players,25,631
632,no_players,37,632
633,no_players,79,633
634,no_players,66,634
635,no_players,34,635
636,no_players,68,636
637,no_players,28,637
638,no_players,56,638
639,no_players,160,639
640,no_players,21,640
641,no_players,43,641
642,no_players,53,642
643,no_players,36,643
644,no_players,47,644
645,no_players,129,645
646,no_players,16,646
647,no_players,27,647
648,no_players,13,648
649,no_players,30,649
650,no_players,65,650
651,no_players,17,651
652,no_players,28,652
653,no_players,44,653
654,no_players,57,654
655,no_players,35,655
656,no_players,46,656
657,no_players,18,657
658,no_players,34,658
659,no_players,32,659
660,no_players,31,660
661,no_players,72,661
662,no_players,80,662
663,no_players,54,663
664,no_players,58,664
665,no_players,50,665
666,no_players,16,666
667,no_players,134,667
668,no_players,46,668
669,no_players,29,669
670,no_players,58,670
671,no_players,78,671
672,no_players,12,672
673,no_players,40,673
674,no_players,54,674
675,no_players,23,675
676,no_players,24,676
677,no_players,38,677
678,no_players,68,678
679,no_players,88,679
680,no_players,23,680
681,no_players,42,681
682,no_players,46,682
683,no_players,46,683
684,no_players,130,684
685,no_players,53,685
686,no_players,55,686
687,no_players,29,687
688,no_players,19,688
689,no_players,44,689
690,no_players,23,690
691,no_players,47,691
692,no_players,41,692
693,no_players,91,693
694,no_players,63,694
695,no_players,76,695
696,no_players,65,696
697,no_players,50,697
698,no_players,100,698
699,no_players,89,699
700,no_players,101,700
701,no_players,19,701
702,no_players,75,702
703,no_players,37,703
704,no_players,40,704
705,no_players,70,705
706,no_players,69,706
707,no_players,26,707
708,no_players,72,708
709,no_players,46,709
710,no_players,55,710
711,no_players,21,711
712,no_players,55,712
713,no_players,43,713
714,no_players,88,714
715,no_players,20,715
716,no_players,31,716
717,no_players,54,717
718,no_players,16,718
719,no_players,57,719
720,no_players,14,720
721,no_players,82,721
722,no_players,59,722
723,no_players,40,723
724,no_players,39,724
725,no_players,43,725
726,no_players,65,726
727,no_players,63,727
728,no_players,115,728
729,no_players,25,729
730,no_players,33,730
731,no_players,21,731
732,no_players,69,732
733,no_players,27,733
734,no_players,16,734
735,no_players,12,735
736,no_players,19,736
737,no_players,89,737
738,no_players,76,738
739,no_players,54,739
740,no_players,112,740
741,no_players,20,741
742,no_players,28,742
743,no_players,17,743
744,no_players,73,744
745,no_players,83,745
746,no_players,90,746
747,no_players,20,747
748,no_players,90,748
749,no_players,35,749
750,no_players,90,750
751,no_players,21,751
752,no_players,95,752
753,no_players,41,753
754,no_players,79,754
755,no_players,89,755
756,no_players,47,756
757,no_players,17,757
758,no_players,74,758
759,no_players,63,759
760,no_players,76,760
761,no_players,111,761
762,no_players,67,762
763,no_players,26,763
764,no_players,83,764
765,no_players,49,765
766,no_players,88,766
767,no_players,39,767
768,no_players,13,768
769,no_players,46,769
770,no_players,94,770
771,no_players,57,771
772,no_players,20,772
773,no_players,59,773
774,no_players,18,774
775,no_players,57,775
776,no_players,52,776
777,no_players,29,777
778,no_players,25,778
779,no_players,45,779
780,no_players,36,780
781,no_players,15,781
782,no_players,21,782
783,no_players,156,783
784,no_players,35,784
785,no_players,21,785
786,no_players,96,786
787,no_players,29,787
788,no_players,78,788
789,no_players,20,789
790,no_players,68,790
791,no_players,17,791
792,no_players,30,792
793,no_players,56,793
794,no_players,64,794
795,no_players,32,795
796,no_players,72,796
797,no_players,63,797
798,no_players,16,798
799,no_players,20,799
800,no_players,40,800
801,no_players,86,801
802,no_players,28,802
803,no_players,19,803
804,no_players,79,804
805,no_players,87,805
806,no_players,81,806
807,no_players,40,807
808,no_players,42,808
809,no_players,62,809
810,no_players,47,810
811,no_players,60,811
812,no_players,49,812
813,no_players,79,813
814,no_players,19,814
815,no_players,37,815
816,no_players,21,816
817,no_players,38,817
818,no_players,90,818
819,no_players,31,819
820,no_players,27,820
821,no_players,68,821
822,no_players,39,822
823,no_players,46,823
824,no_players,124,824
825,no_players,137,825
826,no_players,48,826
827,no_players,61,827
828,no_players,82,828
829,no_players,42,829
830,no_players,73,830
831,no_players,21,831
832,no_players,57,832
833,no_players,72,833
834,no_players,127,834
835,no_players,43,835
836,no_players,33,836
837,no_players,37,837
838,no_players,57,838
839,no_players,29,839
840,no_players,56,840
841,no_players,98,841
842,no_players,42,842
843,no_players,42,843
844,no_players,42,844
845,no_players,52,845
846,no_players,70,846
847,no_players,30,847
848,no_players,77,848
849,no_players,39,849
850,no_players,39,850
851,no_players,102,851
852,no_players,101,852
853,no_players,115,853
854,no_players,91,854
855,no_players,24,855
856,no_players,28,856
857,no_players,146,857
858,no_players,39,858
859,no_players,101,859
860,no_players,37,860
861,no_players,37,861
862,no_players,24,862
863,no_players,110,863
864,no_players,74,864
865,no_players,50,865
866,no_players,115,866
867,no_players,83,867
868,no_players,35,868
869,no_players,28,869
870,no_players,18,870
871,no_players,20,871
872,no_players,112,872
873,no_players,123,873
874,no_players,44,874
875,no_players,76,875
